realization_spec_file_name,orig_spec_file_name,EW_Hbeta,err_EW_Hbeta_from_robo,EW_Hdelta,err_EW_Hdelta_from_robo,EW_Hgamma,err_EW_Hgamma_from_robo,EW_Heps,err_EW_Heps_from_robo,EW_CaIIK,err_EW_CaIIK_from_robo,EW_Balmer,err_EW_Balmer_based_Robo,subtype,phase,feh,err_feh,teff,logg,alpha
575020m10_noise_ver_000.smo,575020m10.smo,3.123037,1.050006,2.3894729999999997,0.541407,2.6996330000000004,0.575293,9.978587,1.074652,13.897841,2.534564,2.2256184281179965,0.7012619457570639,,,-1.0,0.15,7870.27168367613,2.0,0.4
575020m15_noise_ver_000.smo,575020m15.smo,2.679671,0.803553,2.3803259999999997,0.39431,2.666766,0.5600930000000001,6.902753,1.333874,8.22373,1.78997,2.1928281777497425,0.6847660787328607,,,-1.5,0.15,7754.496395162782,2.0,0.4
575020m20_noise_ver_000.smo,575020m20.smo,2.39017,0.648876,2.3897060000000003,0.32009899999999997,2.567491,0.580597,5.373246,1.428288,4.895396,1.025104,2.0937850005413465,0.7153267486632372,,,-2.0,0.15,7404.80886135255,2.0,0.4
575020m25_noise_ver_000.smo,575020m25.smo,2.280091,0.5349119999999999,2.41172,0.252314,2.475235,0.5980989999999999,4.098802,0.897734,2.988795,0.498634,2.001744432860281,0.7427468903324473,,,-2.5,0.15,7079.842566451798,2.0,0.4
575025m10_noise_ver_000.smo,575025m10.smo,2.8858479999999997,0.8818809999999999,2.268235,0.505883,2.497188,0.46721999999999997,9.23295,1.026715,12.570986,2.5585970000000002,2.023646169140874,0.5814619614648321,,,-1.0,0.15,7157.173309831285,2.5,0.4
575025m15_noise_ver_000.smo,575025m15.smo,2.4737709999999997,0.7542260000000001,2.2385040000000003,0.362202,2.459468,0.466751,6.618686,1.4721879999999998,7.660275,1.6517400000000002,1.9860142512934733,0.5829421931716476,,,-1.5,0.15,7024.305039539318,2.5,0.4
575025m20_noise_ver_000.smo,575025m20.smo,2.2236580000000004,0.563109,2.236919,0.274177,2.390119,0.5079859999999999,5.089472,1.290802,4.613874,0.9371790000000001,1.91682719215245,0.6377168744731998,,,-2.0,0.15,6780.029464580796,2.5,0.4
575025m25_noise_ver_000.smo,575025m25.smo,2.122932,0.434424,2.214398,0.22587,2.298707,0.537327,3.796779,0.762353,2.8344110000000002,0.485597,1.8256286535981925,0.6804772010493129,,,-2.5,0.15,6458.0368516656035,2.5,0.4
575030m05_noise_ver_000.smo,575030m05.smo,3.2821849999999997,1.209329,2.16323,0.607302,2.400933,0.6102920000000001,10.275255,0.8875649999999999,15.419298000000001,2.4675580000000004,1.9276159397558918,0.7631878357041321,,,-0.5,0.15,6818.119442160806,3.0,0.4
575030m10_noise_ver_000.smo,575030m10.smo,2.618298,0.8034060000000001,2.123016,0.503817,2.2977369999999997,0.433903,8.834192999999997,1.005503,12.14834,2.5167349999999997,1.8246609187012688,0.5519105476676482,,,-1.0,0.15,6454.620978707943,3.0,0.4
575030m15_noise_ver_000.smo,575030m15.smo,2.243344,0.612042,2.066377,0.342521,2.236263,0.396868,6.280224,1.2943069999999999,7.43992,1.552374,1.7633304701924906,0.5095714723610439,,,-1.5,0.15,6238.081974822407,3.0,0.4
575030m20_noise_ver_000.smo,575030m20.smo,2.078755,0.485497,2.041929,0.19733399999999998,2.164815,0.41411800000000004,4.917159,1.191718,4.591956,0.9007799999999999,1.6920493125477107,0.5357532877640395,,,-2.0,0.15,5986.411142183786,3.0,0.4
575030m25_noise_ver_000.smo,575030m25.smo,1.9767119999999998,0.369006,2.013707,0.18721400000000002,2.101746,0.45156599999999997,3.635135,0.652678,2.851644,0.48200299999999996,1.6291275886156398,0.5878188971192875,,,-2.5,0.15,5764.256573754873,3.0,0.4
575030p00_noise_ver_000.smo,575030p00.smo,4.380281,1.717945,2.311012,0.757312,2.5249490000000003,0.8356020000000001,11.457742,1.134093,16.136159,2.091151,2.0513423428249067,1.0296299182187805,,,0.0,0.15,7254.957209200796,3.0,0.4
